167,5,-5,-3,-5,-2,-4,-3,-2,-1
168,4,-1,-3,-4,-2,2,-1,-1,-1
169,0,0,0,0,0,0,0,0,0
170,66,27,28,11,-34,-9,40,-3,29
171,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0
173,0,0,0,1,3,5,2,0,-1
174,104,-20,-24,14,-40,3,22,-32,-5
175,24,-6,-14,-17,-11,-9,-8,-1,-4
176,12,-10,-3,-3,-1,-6,-6,2,6
177,5,1,-3,-3,-5,-4,-4,-2,-3
178,2,1,1,0,-1,-1,-2,-1,-2
179,15,-1,5,0,13,-12,-3,2,-6
180,1,-1,0,-1,0,2,5,1,0
181,0,0,3,0,0,0,0,0,0
182,0,0,0,0,1,2,8,7,-1
183,72,-59,-46,-30,-18,-33,-30,-33,-48
184,50,-37,-41,-41,-13,-33,-34,-24,-18
185,10,-10,-8,-7,-8,-7,-7,-5,4
186,12,-2,-8,-9,-7,0,5,8,2
187,46,-19,4,44,-21,-2,7,12,23
188,0,0,0,0,0,0,0,0,0
189,8,-8,-6,-7,-6,-4,11,-1,-3
190,0,0,0,0,0,0,1,0,0
191,1,3,1,-1,-1,-2,0,-1,0
192,0,0,0,0,0,0,0,0,0
193,0,2,0,0,0,0,0,0,7
194,115,-23,-13,-42,-36,11,-10,-15,1
195,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0
197,20,-3,17,36,2,2,-6,-1,-15
198,0,0,0,0,0,0,0,0,0
199,55,-46,-32,-33,-30,-8,-6,4,-31
200,1,-1,0,-1,-1,-1,-1,-1,-1
201,0,0,0,0,0,0,0,0,0
202,29,-23,-15,-16,-16,1,0,28,-8
203,24,-2,30,41,17,-8,16,11,-10
204,24,-19,-7,-10,-11,-12,-6,-11,32
205,363,-131,-226,-150,-212,-201,-155,-126,-132
206,33,-9,23,9,13,-11,11,-4,-5
207,1705,-808,590,-789,-508,-575,-1296,-768,-584
208,1,-1,-1,8,0,-1,-1,-1,-1
209,6,-2,3,0,-4,-4,2,-5,13
210,5,-2,0,6,20,19,-1,-4,0
211,45,-26,-29,-17,-10,-2,-16,27,-14
212,0,0,0,0,0,0,0,0,0
213,6,-4,-4,-4,-4,-2,-4,-1,4
214,1,-1,1,1,-1,2,4,-1,-1
215,1,-1,-1,-1,-1,-1,-1,-1,1
216,0,0,0,0,0,0,0,0,0
217,6,0,-5,-4,-1,-5,0,2,-4
